Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,consumption
2017-01-01 0:00:00,6.4864999999999995,74.15,0.083,0.0605,0.10200000000000001,20186.024100000002
2017-01-01 0:15:00,6.313,74.5,0.08,0.062,0.1,19668.43373
2017-01-01 0:30:00,6.021000000000001,75.35,0.082,0.0695,0.0905,18670.843375
2017-01-01 0:45:00,5.853,76.9,0.081,0.059,0.108,18130.12048
2017-01-01 1:00:00,5.5685,77.95,0.0825,0.051500000000000004,0.0945,17702.168675
2017-01-01 1:15:00,5.678,78.1,0.081,0.066,0.141,17025.54217
2017-01-01 1:30:00,5.5035,77.4,0.0815,0.056499999999999995,0.1095,16716.14458
2017-01-01 1:45:00,5.471,76.7,0.083,0.059,0.126,16395.18072
2017-01-01 2:00:00,5.0135000000000005,78.69999999999999,0.0825,0.07,0.115,15970.120480000001
2017-01-01 2:15:00,4.975,78.9,0.083,0.055,0.152,15672.28916
2017-01-01 2:30:00,4.9585,79.4,0.082,0.0605,0.115,15553.73494
2017-01-01 2:45:00,5.407,78.5,0.082,0.062,0.163,15336.86747
2017-01-01 3:00:00,5.125,77.80000000000001,0.0835,0.058499999999999996,0.119,15099.759035
2017-01-01 3:15:00,5.041,77.2,0.081,0.062,0.152,15013.01205
2017-01-01 3:30:00,4.965,76.75,0.084,0.0605,0.161,14749.879519999999
2017-01-01 3:45:00,4.805,76.2,0.081,0.059,0.134,14590.84337
2017-01-01 4:00:00,4.827,75.05000000000001,0.083,0.057,0.128,14518.554215
2017-01-01 4:15:00,5.203,74.1,0.085,0.062,0.096,14232.28916
2017-01-01 4:30:00,5.275,72.95,0.08,0.0675,0.124,14194.698795
2017-01-01 4:45:00,5.179,74.2,0.083,0.037,0.137,14243.85542
2017-01-01 5:00:00,4.8260000000000005,74.35,0.081,0.053,0.14300000000000002,14174.45783
2017-01-01 5:15:00,5.546,74.0,0.082,0.055,0.093,14266.98795
2017-01-01 5:30:00,4.52,75.2,0.0805,0.058499999999999996,0.126,14446.26506
2017-01-01 5:45:00,4.212,78.3,0.081,0.117,0.082,14862.6506
2017-01-01 6:00:00,4.5215,75.75,0.0805,0.051000000000000004,0.14100000000000001,14819.277105000001
2017-01-01 6:15:00,4.769,75.6,0.082,0.099,0.063,14625.54217
2017-01-01 6:30:00,4.664,75.2,0.0825,0.068,0.1075,14400.0
2017-01-01 6:45:00,4.29,77.0,0.085,0.033,0.193,14018.31325
2017-01-01 7:00:00,4.4085,75.3,0.083,0.051500000000000004,0.14300000000000002,13061.204819999999
2017-01-01 7:15:00,4.489,74.3,0.082,0.081,0.119,11600.96386
2017-01-01 7:30:00,4.417,72.25,0.0825,0.07150000000000001,0.104,10548.433734999999
2017-01-01 7:45:00,4.583,71.0,0.083,0.066,0.104,10496.38554
2017-01-01 8:00:00,4.8004999999999995,72.55,0.083,0.571,0.5469999999999999,10773.975905
2017-01-01 8:15:00,4.757,73.5,0.083,3.188,3.134,10941.68675
2017-01-01 8:30:00,4.4275,74.65,0.083,9.6415,8.312000000000001,11346.506024999999
2017-01-01 8:45:00,4.718,73.7,0.081,58.97,17.0,11959.51807
2017-01-01 9:00:00,4.664,72.94999999999999,0.0825,94.7,21.35,12355.66265
2017-01-01 9:15:00,4.629,74.8,0.083,132.1,24.3,12826.98795
2017-01-01 9:30:00,4.5615000000000006,74.35,0.0815,169.25,27.545,13385.060239999999
2017-01-01 9:45:00,4.575,74.5,0.082,208.8,29.2,13850.60241
2017-01-01 10:00:00,5.48,72.5,1.368,246.35,30.12,14295.903615
2017-01-01 10:15:00,5.996,69.85,4.93,282.7,31.96,14671.80723
2017-01-01 10:30:00,6.4615,68.41,4.923500000000001,317.3,32.82,15151.80723
2017-01-01 10:45:00,6.993,66.14,4.918,349.6,33.41,15244.33735
2017-01-01 11:00:00,7.880000000000001,63.05499999999999,4.916,379.65,33.66,15704.096385
2017-01-01 11:15:00,9.49,59.3,2.451,401.3,34.4,15932.53012
2017-01-01 11:30:00,10.855,54.775000000000006,0.083,425.2,36.435,16155.18072
2017-01-01 11:45:00,12.4,53.26,0.08,437.5,43.46,16354.6988
2017-01-01 12:00:00,13.73,54.39,0.0765,460.45,40.56,16542.650605000003
2017-01-01 12:15:00,15.02,56.46,0.074,480.0,38.81,16649.63855
2017-01-01 12:30:00,15.555,58.965,0.0755,488.15,40.19,16982.168675
2017-01-01 12:45:00,15.49,59.3,0.076,495.9,40.9,17418.79518
2017-01-01 13:00:00,15.61,58.38,0.077,498.1,41.845,17424.578315
2017-01-01 13:15:00,15.73,59.33,0.076,498.8,44.65,17332.04819
2017-01-01 13:30:00,15.69,56.945,0.0765,493.1,41.79,17314.698795
2017-01-01 13:45:00,15.75,52.45,0.077,482.4,38.65,16979.27711
2017-01-01 14:00:00,15.809999999999999,55.825,0.0775,471.9,39.715,17051.566265
2017-01-01 14:15:00,15.72,55.86,0.077,456.1,39.95,16950.36145
2017-01-01 14:30:00,15.77,54.81,0.075,443.29999999999995,42.825,16753.734940000002
2017-01-01 14:45:00,15.72,56.69,0.077,422.0,43.87,16678.55422
2017-01-01 15:00:00,15.665,57.61,0.0755,400.4,45.894999999999996,16779.759035
2017-01-01 15:15:00,15.69,58.93,0.075,369.4,51.51,16649.63855
2017-01-01 15:30:00,15.495000000000001,58.150000000000006,0.074,250.65,58.725,16531.08434
2017-01-01 15:45:00,15.34,58.7,0.075,149.5,67.85,16296.86747
2017-01-01 16:00:00,15.405000000000001,58.345,0.0755,237.10000000000002,174.0,16253.493975
2017-01-01 16:15:00,15.54,58.3,0.076,241.3,246.0,16192.77108
2017-01-01 16:30:00,15.504999999999999,58.265,0.076,207.35,239.85,16432.771085
2017-01-01 16:45:00,15.47,58.23,0.077,174.9,211.9,16765.3012
2017-01-01 17:00:00,15.395,59.185,0.0765,148.9,182.35,18563.85542
2017-01-01 17:15:00,15.34,59.0,0.079,117.4,144.3,21883.37349
2017-01-01 17:30:00,15.02,60.18,0.0765,87.05,107.3,24560.963855
2017-01-01 17:45:00,14.71,61.87,0.086,26.51,28.08,25520.96386
2017-01-01 18:00:00,14.385,63.605000000000004,0.079,12.497,12.655,25581.68675
2017-01-01 18:15:00,14.09,64.87,0.078,2.818,2.763,25798.55422
2017-01-01 18:30:00,13.84,66.425,0.076,0.47750000000000004,0.5435,25763.85542
2017-01-01 18:45:00,13.54,66.71,0.076,0.062,0.089,25885.3012
